support,itemsets,itemsets_readable,itemset_size
0.007084140880839404,frozenset({'seasonal products'}),seasonal products,1
0.006148499632426653,frozenset({'cake bar'}),cake bar,1
0.008220276682483459,"frozenset({'tropical fruit', 'whole milk'})","tropical fruit, whole milk",2
0.006282162667914188,"frozenset({'tropical fruit', 'other vegetables'})","tropical fruit, other vegetables",2
0.006081668114682885,"frozenset({'tropical fruit', 'rolls/buns'})","tropical fruit, rolls/buns",2
0.005212858384013901,"frozenset({'yogurt', 'tropical fruit'})","yogurt, tropical fruit",2
0.005413352937245205,"frozenset({'soda', 'tropical fruit'})","soda, tropical fruit",2
0.006616320256633028,"frozenset({'pip fruit', 'whole milk'})","pip fruit, whole milk",2
0.014836596939116486,"frozenset({'other vegetables', 'whole milk'})","other vegetables, whole milk",2
0.013967787208447505,"frozenset({'rolls/buns', 'whole milk'})","rolls/buns, whole milk",2
0.007150972398583172,"frozenset({'citrus fruit', 'whole milk'})","citrus fruit, whole milk",2
0.005279689901757669,"frozenset({'frankfurter', 'whole milk'})","frankfurter, whole milk",2
0.007150972398583172,"frozenset({'bottled water', 'whole milk'})","bottled water, whole milk",2
0.011160863463209249,"frozenset({'yogurt', 'whole milk'})","yogurt, whole milk",2
0.008955423377664907,"frozenset({'whole milk', 'sausage'})","whole milk, sausage",2
0.00755196150504578,"frozenset({'root vegetables', 'whole milk'})","root vegetables, whole milk",2
0.005012363830782597,"frozenset({'pork', 'whole milk'})","pork, whole milk",2
0.006482657221145492,"frozenset({'pastry', 'whole milk'})","pastry, whole milk",2
0.006014836596939116,"frozenset({'canned beer', 'whole milk'})","canned beer, whole milk",2
0.011628684087415625,"frozenset({'soda', 'whole milk'})","soda, whole milk",2
0.005613847490476508,"frozenset({'newspapers', 'whole milk'})","newspapers, whole milk",2
0.007150972398583172,"frozenset({'whole milk', 'bottled beer'})","whole milk, bottled beer",2
0.005279689901757669,"frozenset({'domestic eggs', 'whole milk'})","domestic eggs, whole milk",2
0.006348994185657956,"frozenset({'shopping bags', 'whole milk'})","shopping bags, whole milk",2
0.010559379803515338,"frozenset({'other vegetables', 'rolls/buns'})","other vegetables, rolls/buns",2
0.005146026866270133,"frozenset({'frankfurter', 'other vegetables'})","frankfurter, other vegetables",2
0.005480184454988973,"frozenset({'bottled water', 'other vegetables'})","bottled water, other vegetables",2
0.008086613646995923,"frozenset({'yogurt', 'other vegetables'})","yogurt, other vegetables",2
0.006014836596939116,"frozenset({'other vegetables', 'sausage'})","other vegetables, sausage",2
0.005279689901757669,"frozenset({'other vegetables', 'root vegetables'})","other vegetables, root vegetables",2
0.009690570072846355,"frozenset({'soda', 'other vegetables'})","soda, other vegetables",2
0.007819287576020852,"frozenset({'yogurt', 'rolls/buns'})","yogurt, rolls/buns",2
0.005346521419501437,"frozenset({'rolls/buns', 'sausage'})","rolls/buns, sausage",2
0.005747510525964045,"frozenset({'root vegetables', 'rolls/buns'})","root vegetables, rolls/buns",2
0.008086613646995923,"frozenset({'soda', 'rolls/buns'})","soda, rolls/buns",2
0.005747510525964045,"frozenset({'yogurt', 'sausage'})","yogurt, sausage",2
0.005814342043707813,"frozenset({'soda', 'yogurt'})","soda, yogurt",2
0.005948005079195348,"frozenset({'soda', 'sausage'})","soda, sausage",2
0.005279689901757669,"frozenset({'soda', 'root vegetables'})","soda, root vegetables",2
